backbone,dataset,method,train_seed,gate_status,gate_floor,score,calibration,alpha,rho_cal,rho_test,split_seed,n_eval,worst_group_acc,base_top1,marginal_cov,worst_group,worst_group_cov,mean_group_cov,cov_range,n_cal_worst_group,cov_gap,mean_set_size,worst_group_set_size,set_size_disparity,div_wasserstein1,div_ks_stat,div_ks_pvalue,rho_cal_realized,rho_test_realized
resnet50_erm,waterbirds,erm,0,kept,0.3,APS,marginal_split,0.1,0.95,0.95,0,2622,0.5095986038394416,0.9260106788710908,0.8802440884820748,2,0.5454545454545454,0.7647681635633443,0.38145308506754294,66,0.3545454545454546,0.9630053394355453,1.0151515151515151,0.06495071193866375,0.17862635677904548,0.36669512021624695,2.928171889436041e-08,0.9496567505720824,0.9496567505720824
resnet50_erm,waterbirds,erm,0,kept,0.3,APS,marginal_split,0.1,0.95,0.95,1,2622,0.5095986038394416,0.9515636918382914,0.8947368421052632,2,0.5606060606060606,0.7903340635268346,0.36389193136181097,66,0.33939393939393947,0.9565217391304348,1.106060606060606,0.1646951442132164,0.22834168412875325,0.37964148527528807,7.724534767642281e-09,0.9496567505720824,0.9496567505720824
resnet50_erm,waterbirds,erm,0,kept,0.3,APS,marginal_split,0.1,0.95,0.95,2,2622,0.5095986038394416,0.9435545385202135,0.8939740655987796,2,0.5151515151515151,0.7719970792259949,0.4246075209930632,66,0.3848484848484849,0.9630053394355453,1.0757575757575757,0.12234392113910175,0.16537215043052306,0.39682031583440036,1.2144379762788865e-09,0.9496567505720824,0.9496567505720824
resnet50_erm,waterbirds,erm,0,kept,0.3,APS,marginal_split,0.1,0.95,0.95,3,2622,0.5095986038394416,0.937070938215103,0.8977879481311976,2,0.6060606060606061,0.7991146403797007,0.3288791529755385,66,0.29393939393939394,0.9710144927536232,1.0606060606060606,0.10719240598758661,0.13030229792930817,0.3073694693413003,6.821461045556886e-06,0.9496567505720824,0.9496567505720824
resnet50_erm,waterbirds,erm,0,kept,0.3,APS,marginal_split,0.1,0.95,0.95,4,2622,0.5095986038394416,0.937070938215103,0.9031273836765827,2,0.5909090909090909,0.7947517342095655,0.35929171230376045,66,0.3090909090909091,0.9778794813119756,1.0606060606060606,0.135779481562614,0.176405838298564,0.33852610613173995,4.446995037318443e-07,0.9496567505720824,0.9496567505720824
resnet50_erm,waterbirds,erm,0,kept,0.3,APS,marginal_split,0.1,0.95,0.95,5,2622,0.5095986038394416,0.9435545385202135,0.9042715484363082,2,0.6060606060606061,0.8168765972982841,0.3369112814895947,66,0.29393939393939394,0.9744469870327994,1.106060606060606,0.1438116100766702,0.1823745179539374,0.3279627258500498,1.1591938291087986e-06,0.9496567505720824,0.9496567505720824
resnet50_erm,waterbirds,erm,0,kept,0.3,APS,marginal_split,0.1,0.95,0.95,6,2622,0.5095986038394416,0.9454614797864226,0.8920671243325705,2,0.5303030303030303,0.78175428988682,0.40784958013873684,66,0.36969696969696975,0.9591914569031273,0.9848484848484849,0.07769258853596195,0.22463405906387954,0.4012661829563238,7.408761387097544e-10,0.9496567505720824,0.9496567505720824
resnet50_erm,waterbirds,erm,0,kept,0.3,APS,marginal_split,0.1,0.95,0.95,7,2622,0.5095986038394416,0.9340198321891686,0.8790999237223494,2,0.5454545454545454,0.7713399050748448,0.37422416940489234,66,0.3545454545454546,0.9553775743707094,1.0606060606060606,0.1902884264330046,0.18860190482962497,0.3634585289514867,4.052570142283769e-08,0.9496567505720824,0.9496567505720824
resnet50_erm,waterbirds,erm,0,kept,0.3,APS,marginal_split,0.1,0.95,0.95,8,2622,0.5095986038394416,0.9366895499618612,0.8928299008390541,2,0.5454545454545454,0.7857429718875503,0.3935012778386273,66,0.3545454545454546,0.9706331045003814,1.121212121212121,0.16458561518802473,0.21623953483985073,0.41990325793142697,8.6995852412069e-11,0.9496567505720824,0.9496567505720824
resnet50_erm,waterbirds,erm,0,kept,0.3,APS,marginal_split,0.1,0.95,0.95,9,2622,0.5095986038394416,0.9435545385202135,0.8890160183066361,2,0.5909090909090909,0.8016703176341731,0.33037604965315803,66,0.3090909090909091,0.9622425629290617,1.106060606060606,0.15987586710478263,0.20753694738067704,0.33319106558543177,7.244645328010327e-07,0.9496567505720824,0.9496567505720824
