dataset,representation,ft_seed,head,backbone,calibration,score,alpha,rho_cal,rho_test,split_seed,n_eval,worst_group_acc,base_top1,marginal_cov,worst_group,worst_group_cov,mean_group_cov,cov_range,cov_gap,n_cal_worst_group,mean_set_size,worst_group_set_size,set_size_disparity,div_wasserstein1,div_ks_stat,div_ks_pvalue,rho_cal_realized,rho_test_realized
waterbirds,erm,0,erm,ft_erm,marginal_split,APS,0.1,0.95,0.95,0,2622,0.49214659685863876,0.9347826086956522,0.9016018306636155,1,0.6363636363636364,0.7760131434830231,0.29456005841548016,0.26363636363636367,66,0.9832189168573608,0.9848484848484849,0.1852500912741878,0.15837005067251678,0.295596813202447,1.7768203751762224e-05,0.9496567505720824,0.9496567505720824
waterbirds,erm,0,erm,ft_erm,marginal_split,APS,0.1,0.95,0.95,1,2622,0.49214659685863876,0.954233409610984,0.9031273836765827,2,0.5606060606060606,0.7911646586345381,0.3671047827674334,0.33939393939393947,66,0.9652936689549961,1.0303030303030303,0.1869660460021907,0.21059203408571714,0.37651159482145397,1.0712167189588015e-08,0.9496567505720824,0.9496567505720824
waterbirds,erm,0,erm,ft_erm,marginal_split,APS,0.1,0.95,0.95,2,2622,0.49214659685863876,0.9427917620137299,0.9061784897025171,2,0.5151515151515151,0.7784227820372399,0.42219788243884626,0.3848484848484849,66,0.977116704805492,1.0757575757575757,0.11591821832785687,0.1984577706635844,0.4159908948641343,1.3768783597566596e-10,0.9496567505720824,0.9496567505720824
waterbirds,erm,0,erm,ft_erm,marginal_split,APS,0.1,0.95,0.95,3,2622,0.49214659685863876,0.9309687261632341,0.8897787948131197,2,0.5606060606060606,0.7733753194596568,0.3582694414019716,0.33939393939393947,66,0.9801678108314263,1.121212121212121,0.17342095655348655,0.18087675615390741,0.3578745198463508,7.045573703555503e-08,0.9496567505720824,0.9496567505720824
waterbirds,erm,0,erm,ft_erm,marginal_split,APS,0.1,0.95,0.95,4,2622,0.49214659685863876,0.9431731502669718,0.9004576659038902,2,0.6515151515151515,0.8148685651697699,0.2850310332238043,0.24848484848484853,66,0.971395881006865,1.0909090909090908,0.19006936838262145,0.177358529547111,0.3345070422535211,6.428195621871539e-07,0.9496567505720824,0.9496567505720824
waterbirds,erm,0,erm,ft_erm,marginal_split,APS,0.1,0.95,0.95,5,2622,0.49214659685863876,0.9435545385202135,0.9111365369946606,2,0.5757575757575758,0.8025556772544724,0.36480467323840815,0.3242424242424242,66,0.9813119755911518,1.1363636363636365,0.18765972982840462,0.16393240487974114,0.3773652013088633,9.801084127095767e-09,0.9496567505720824,0.9496567505720824
waterbirds,erm,0,erm,ft_erm,marginal_split,APS,0.1,0.95,0.95,6,2622,0.49214659685863876,0.9374523264683448,0.8901601830663616,2,0.48484848484848486,0.7484665936473165,0.4412559328221979,0.41515151515151516,66,0.9645308924485125,1.0757575757575757,0.12876962395034675,0.20695632426308758,0.42712334613743064,3.677988468846208e-11,0.9496567505720824,0.9496567505720824
waterbirds,erm,0,erm,ft_erm,marginal_split,APS,0.1,0.95,0.95,7,2622,0.49214659685863876,0.9378337147215866,0.8874904652936689,2,0.6212121212121212,0.79728002920774,0.2952537422416941,0.2787878787878788,66,0.9668192219679634,1.0757575757575757,0.24205914567360354,0.17904212229097297,0.36936264048940104,2.2347015484919483e-08,0.9496567505720824,0.9496567505720824
waterbirds,erm,0,erm,ft_erm,marginal_split,APS,0.1,0.95,0.95,8,2622,0.49214659685863876,0.9347826086956522,0.8947368421052632,2,0.5151515151515151,0.7903340635268347,0.4093464768163564,0.3848484848484849,66,0.971395881006865,1.0757575757575757,0.1382986491420225,0.19701936784946175,0.4152084222506758,1.5083799291215868e-10,0.9496567505720824,0.9496567505720824
waterbirds,erm,0,erm,ft_erm,marginal_split,APS,0.1,0.95,0.95,9,2622,0.49214659685863876,0.9481311975591151,0.8871090770404272,2,0.6363636363636364,0.771969696969697,0.26725082146768897,0.26363636363636367,66,0.9557589626239512,1.0606060606060606,0.1703176341730558,0.1944570474760923,0.2920401195049082,2.354028426277431e-05,0.9496567505720824,0.9496567505720824
