backbone,dataset,method,train_seed,calibration,score,rho_test,split_seed,worst_group_rerun,worst_group_cov_rerun,cov_g0,n_g0,cov_g1,n_g1,cov_g2,n_g2,cov_g3,n_g3,cov_min_recomputed,argmin_recomputed
resnet50_erm,waterbirds,erm,0,marginal_split,APS,0.95,0,2,0.5454545454545454,0.9269076305220884,1245,0.7272727272727273,66,0.5454545454545454,66,0.8594377510040161,1245,0.5454545454545454,2
resnet50_erm,waterbirds,erm,0,marginal_split,APS,0.95,1,2,0.5606060606060606,0.9244979919678715,1245,0.7878787878787878,66,0.5606060606060606,66,0.8883534136546185,1245,0.5606060606060606,2
resnet50_erm,waterbirds,erm,0,marginal_split,APS,0.95,2,2,0.5151515151515151,0.9397590361445783,1245,0.7575757575757576,66,0.5151515151515151,66,0.8755020080321285,1245,0.5151515151515151,2
resnet50_erm,waterbirds,erm,0,marginal_split,APS,0.95,3,2,0.6060606060606061,0.9349397590361446,1245,0.7727272727272727,66,0.6060606060606061,66,0.8827309236947791,1245,0.6060606060606061,2
resnet50_erm,waterbirds,erm,0,marginal_split,APS,0.95,4,2,0.5909090909090909,0.9502008032128514,1245,0.7575757575757576,66,0.5909090909090909,66,0.8803212851405623,1245,0.5909090909090909,2
resnet50_erm,waterbirds,erm,0,marginal_split,APS,0.95,5,2,0.6060606060606061,0.9429718875502008,1245,0.8333333333333334,66,0.6060606060606061,66,0.885140562248996,1245,0.6060606060606061,2
resnet50_erm,waterbirds,erm,0,marginal_split,APS,0.95,6,2,0.5303030303030303,0.9381526104417671,1245,0.7878787878787878,66,0.5303030303030303,66,0.8706827309236947,1245,0.5303030303030303,2
resnet50_erm,waterbirds,erm,0,marginal_split,APS,0.95,7,2,0.5454545454545454,0.9196787148594378,1245,0.7575757575757576,66,0.5454545454545454,66,0.8626506024096385,1245,0.5454545454545454,2
resnet50_erm,waterbirds,erm,0,marginal_split,APS,0.95,8,2,0.5454545454545454,0.9389558232931727,1245,0.7878787878787878,66,0.5454545454545454,66,0.8706827309236947,1245,0.5454545454545454,2
resnet50_erm,waterbirds,erm,0,marginal_split,APS,0.95,9,2,0.5909090909090909,0.921285140562249,1245,0.8181818181818182,66,0.5909090909090909,66,0.8763052208835341,1245,0.5909090909090909,2
resnet50_erm,waterbirds,erm,0,mondrian,APS,0.95,0,1,0.8484848484848485,0.9036144578313253,1245,0.8484848484848485,66,0.9242424242424242,66,0.8594377510040161,1245,0.8484848484848485,1
resnet50_erm,waterbirds,erm,0,mondrian,APS,0.95,1,2,0.7878787878787878,0.8867469879518072,1245,0.8939393939393939,66,0.7878787878787878,66,0.9204819277108434,1245,0.7878787878787878,2
