backbone,dataset,method,train_seed,condition,score,alpha,rho_cal,rho_test,split_seed,probe_auroc,worst_group_acc,gate_status,gate_floor,worst_group_cov,worst_group_set_size,marg_cov,mean_set_size
resnet50_erm,waterbirds,erm,0,a_true,THR,0.1,0.95,0.95,1,0.9448348042346137,0.5095986038394416,kept,0.3,0.7575757575757576,0.9393939393939394,0.8913043478260869,0.9874141876430206
resnet50_erm,waterbirds,erm,0,b_pred_test,THR,0.1,0.95,0.95,1,0.9448348042346137,0.5095986038394416,kept,0.3,0.6818181818181818,0.9393939393939394,0.9000762776506483,0.984744469870328
resnet50_erm,waterbirds,erm,0,c_pred_both,THR,0.1,0.95,0.95,1,0.9448348042346137,0.5095986038394416,kept,0.3,0.8636363636363636,1.1363636363636365,0.889397406559878,1.1853546910755148
resnet50_erm,waterbirds,erm,0,a_true,THR,0.1,0.95,0.95,2,0.9448348042346137,0.5095986038394416,kept,0.3,0.8795180722891566,1.072289156626506,0.8878718535469108,1.1571319603356216
resnet50_erm,waterbirds,erm,0,b_pred_test,THR,0.1,0.95,0.95,2,0.9448348042346137,0.5095986038394416,kept,0.3,0.8787878787878788,1.0909090909090908,0.9061784897025171,1.1563691838291381
resnet50_erm,waterbirds,erm,0,c_pred_both,THR,0.1,0.95,0.95,2,0.9448348042346137,0.5095986038394416,kept,0.3,0.8787878787878788,1.1515151515151516,0.8962623951182304,1.345537757437071
resnet50_erm,waterbirds,erm,0,a_true,THR,0.1,0.95,0.95,3,0.9448348042346137,0.5095986038394416,kept,0.3,0.8987951807228916,1.180722891566265,0.9096109839816934,1.1495041952707856
resnet50_erm,waterbirds,erm,0,b_pred_test,THR,0.1,0.95,0.95,3,0.9448348042346137,0.5095986038394416,kept,0.3,0.8636363636363636,1.1818181818181819,0.9286803966437833,1.1498855835240274
resnet50_erm,waterbirds,erm,0,c_pred_both,THR,0.1,0.95,0.95,3,0.9448348042346137,0.5095986038394416,kept,0.3,0.8636363636363636,1.2727272727272727,0.9054157131960335,1.3379099923722348
resnet50_erm,waterbirds,erm,0,a_true,THR,0.1,0.95,0.95,4,0.9448348042346137,0.5095986038394416,kept,0.3,0.9004016064257028,1.0755020080321285,0.9153318077803204,1.2925247902364607
resnet50_erm,waterbirds,erm,0,b_pred_test,THR,0.1,0.95,0.95,4,0.9448348042346137,0.5095986038394416,kept,0.3,0.9090909090909091,1.2727272727272727,0.9328756674294432,1.2944317315026697
resnet50_erm,waterbirds,erm,0,c_pred_both,THR,0.1,0.95,0.95,4,0.9448348042346137,0.5095986038394416,kept,0.3,0.8819277108433735,1.0240963855421688,0.8954996186117468,1.2459954233409611
resnet50_erm,waterbirds,erm,0,a_true,THR,0.1,0.95,0.95,5,0.9448348042346137,0.5095986038394416,kept,0.3,0.8939759036144578,1.2473895582329317,0.9012204424103738,1.1502669717772693
resnet50_erm,waterbirds,erm,0,b_pred_test,THR,0.1,0.95,0.95,5,0.9448348042346137,0.5095986038394416,kept,0.3,0.8484848484848485,1.1363636363636365,0.9221967963386728,1.1491228070175439
resnet50_erm,waterbirds,erm,0,c_pred_both,THR,0.1,0.95,0.95,5,0.9448348042346137,0.5095986038394416,kept,0.3,0.8333333333333334,1.0909090909090908,0.9057971014492754,1.198321891685736
resnet50_erm,waterbirds,erm,0,a_true,THR,0.1,0.95,0.95,6,0.9448348042346137,0.5095986038394416,kept,0.3,0.8787878787878788,1.0,0.8954996186117468,1.2009916094584288
resnet50_erm,waterbirds,erm,0,b_pred_test,THR,0.1,0.95,0.95,6,0.9448348042346137,0.5095986038394416,kept,0.3,0.8636363636363636,1.1363636363636365,0.9138062547673532,1.2055682684973303
resnet50_erm,waterbirds,erm,0,c_pred_both,THR,0.1,0.95,0.95,6,0.9448348042346137,0.5095986038394416,kept,0.3,0.8484848484848485,1.121212121212121,0.8878718535469108,1.1281464530892449
resnet50_erm,waterbirds,erm,0,a_true,THR,0.1,0.95,0.95,7,0.9448348042346137,0.5095986038394416,kept,0.3,0.8795180722891566,1.0907630522088354,0.9157131960335622,1.2013729977116705
resnet50_erm,waterbirds,erm,0,b_pred_test,THR,0.1,0.95,0.95,7,0.9448348042346137,0.5095986038394416,kept,0.3,0.8787878787878788,1.2727272727272727,0.9317315026697178,1.2017543859649122
resnet50_erm,waterbirds,erm,0,c_pred_both,THR,0.1,0.95,0.95,7,0.9448348042346137,0.5095986038394416,kept,0.3,0.8484848484848485,1.196969696969697,0.9122807017543859,1.3070175438596492
resnet50_erm,waterbirds,erm,0,a_true,THR,0.1,0.95,0.95,8,0.9448348042346137,0.5095986038394416,kept,0.3,0.8827309236947791,1.0811244979919679,0.9084668192219679,1.217772692601068
resnet50_erm,waterbirds,erm,0,b_pred_test,THR,0.1,0.95,0.95,8,0.9448348042346137,0.5095986038394416,kept,0.3,0.8787878787878788,1.2272727272727273,0.9271548436308161,1.2227307398932112
resnet50_erm,waterbirds,erm,0,c_pred_both,THR,0.1,0.95,0.95,8,0.9448348042346137,0.5095986038394416,kept,0.3,0.8636363636363636,1.2121212121212122,0.910373760488177,1.2170099160945842
resnet50_erm,waterbirds,erm,0,a_true,THR,0.1,0.95,0.95,9,0.9448348042346137,0.5095986038394416,kept,0.3,0.8698795180722891,1.3148594377510041,0.8852021357742181,1.188787185354691
resnet50_erm,waterbirds,erm,0,b_pred_test,THR,0.1,0.95,0.95,9,0.9448348042346137,0.5095986038394416,kept,0.3,0.8333333333333334,1.1515151515151516,0.9096109839816934,1.1941266209000763
resnet50_erm,waterbirds,erm,0,c_pred_both,THR,0.1,0.95,0.95,9,0.9448348042346137,0.5095986038394416,kept,0.3,0.8181818181818182,1.1515151515151516,0.8943554538520213,1.3020594965675056
resnet50_erm,waterbirds,erm,1,a_true,APS,0.1,0.95,0.95,0,0.9448348042346137,0.5095986038394416,kept,0.3,0.8484848484848485,1.121212121212121,0.881769641495042,1.2532418001525554
